step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.0015912320232018828,0.5601150393486023,0.014798492193222046,0.014798492193222046,,,,
2,,,,,0.0011876937933266163,0.4754341244697571,0.012479700148105621,0.012479700148105621,,,,
3,,,,,0.0010705870809033513,0.4126542806625366,0.010851648636162281,0.010851648636162281,,,,
4,,,,,0.0011415323242545128,0.4041260778903961,0.010673917829990387,0.010673917829990387,,,,
5,,,,,0.0009986008517444134,0.3730641305446625,0.009825903922319412,0.009825903922319412,,,,
6,,,,,0.000996532617136836,0.342459112405777,0.009059743955731392,0.009059743955731392,,,,
7,,,,,0.0009266062988899648,0.3045644462108612,0.008077413775026798,0.008077413775026798,,,,
8,,,,,0.0009212836157530546,0.2999729514122009,0.007959965616464615,0.007959965616464615,,,,
9,,,,,0.0008681502076797187,0.26867687702178955,0.007150997407734394,0.007150997407734394,,,,
10,0.001103786169551313,0.28933706879615784,0.007785319816321135,0.007785319816321135,0.0008220106246881187,0.24207448959350586,0.006462867837399244,0.006462867837399244,29.04785478547855,41.0,130.3075341141224,3.1820220897595086
11,,,,,0.0007757461280561984,0.23216116428375244,0.006191902793943882,0.006191902793943882,,,,
12,,,,,0.0008242522017098963,0.21960750222206116,0.005902314558625221,0.005902314558625221,,,,
13,,,,,0.0007252402720041573,0.2108197957277298,0.00563311530277133,0.00563311530277133,,,,
14,,,,,0.0006998172611929476,0.19698546826839447,0.005274545401334763,0.005274545401334763,,,,
15,,,,,0.0005970684578642249,0.19265057146549225,0.005114798434078693,0.005114798434078693,,,,
16,,,,,0.0005902200355194509,0.1675746887922287,0.004484477452933788,0.004484477452933788,,,,
17,,,,,0.0005680301110260189,0.1731627881526947,0.004613084718585014,0.004613084718585014,,,,
18,,,,,0.0005503890570253134,0.15770494937896729,0.004217818379402161,0.004217818379402161,,,,
19,,,,,0.0005258807796053588,0.15712380409240723,0.004191035404801369,0.004191035404801369,,,,
20,0.0009402353316545486,0.23978644609451294,0.006464777979999781,0.006464777979999781,0.0005236894940026104,0.16919033229351044,0.004491603001952171,0.004491603001952171,44.48844884488449,55.99999999999999,100.48993383049965,3.190426652431488
21,,,,,0.00046542735071852803,0.15757979452610016,0.004172208718955517,0.004172208718955517,,,,
22,,,,,0.00047933319001458585,0.1537182480096817,0.004082622937858105,0.004082622937858105,,,,
23,,,,,0.00047909136628732085,0.1693233847618103,0.004472630098462105,0.004472630098462105,,,,
24,,,,,0.000495771411806345,0.15514028072357178,0.004126392770558596,0.004126392770558596,,,,
25,,,,,0.0005173208774067461,0.16683556139469147,0.004429549444466829,0.004429549444466829,,,,
26,,,,,0.0005099946865811944,0.1797732710838318,0.004749328829348087,0.004749328829348087,,,,
27,,,,,0.0004501481307670474,0.15659090876579285,0.004139847122132778,0.004139847122132778,,,,
28,,,,,0.0004658697871491313,0.15211038291454315,0.004035694524645805,0.004035694524645805,,,,
29,,,,,0.00047013952280394733,0.15203922986984253,0.0040360502898693085,0.0040360502898693085,,,,
30,0.0008220857125706971,0.23234859108924866,0.006219757720828056,0.006219757720828056,0.0004988103173673153,0.15674960613250732,0.0041681453585624695,0.0041681453585624695,61.663366336633665,68.0,71.2260355591774,2.817578644588076
31,,,,,0.0004432153655216098,0.1457510143518448,0.003865382866933942,0.003865382866933942,,,,
32,,,,,0.00043714779894798994,0.1495889276266098,0.003958296962082386,0.003958296962082386,,,,
33,,,,,0.0004449111584108323,0.14881238341331482,0.003942765295505524,0.003942765295505524,,,,
34,,,,,0.00045169820077717304,0.1526312381029129,0.004041630309075117,0.004041630309075117,,,,
35,,,,,0.00046164580271579325,0.14137960970401764,0.003765312721952796,0.003765312721952796,,,,
36,,,,,0.0004256977408658713,0.14171966910362244,0.0037558407057076693,0.0037558407057076693,,,,
37,,,,,0.00043168768752366304,0.1372319757938385,0.0036466431338340044,0.0036466431338340044,,,,
38,,,,,0.0004231703351251781,0.17048700153827667,0.004473760258406401,0.004473760258406401,,,,
39,,,,,0.0004545139381662011,0.1576145440340042,0.004167621023952961,0.004167621023952961,,,,
40,0.0007058869814500213,0.21249409019947052,0.0056652952916920185,0.0056652952916920185,0.000435750960605219,0.13542774319648743,0.003603568999096751,0.003603568999096751,55.32673267326732,64.0,74.33723085790872,26.614470718894154
41,,,,,0.00041982566472142935,0.14464640617370605,0.0038260729052126408,0.0038260729052126408,,,,
42,,,,,0.00041738979052752256,0.13542664051055908,0.0035943612456321716,0.0035943612456321716,,,,
43,,,,,0.0003502222534734756,0.1257934719324112,0.0033199479803442955,0.0033199479803442955,,,,
44,,,,,0.00037390063516795635,0.13306602835655212,0.003513600444421172,0.003513600444421172,,,,
45,,,,,0.00043165351962670684,0.13977831602096558,0.0037102848291397095,0.0037102848291397095,,,,
46,,,,,0.0004159431264270097,0.1516590714454651,0.0039994483813643456,0.0039994483813643456,,,,
47,,,,,0.0004014581209048629,0.14508859813213348,0.0038279436994343996,0.0038279436994343996,,,,
48,,,,,0.00037947174860164523,0.1270526945590973,0.0033660533372312784,0.0033660533372312784,,,,
49,,,,,0.00038436983595602214,0.12849970161914825,0.003404677612707019,0.003404677612707019,,,,
50,0.0007183701382018626,0.20643402636051178,0.00552003551274538,0.00552003551274538,0.0003592808498069644,0.12380079925060272,0.003274660324677825,0.003274660324677825,50.41332704699042,55.99999999999999,80.45208900958299,2.658628399814329
51,,,,,0.00037151260767132044,0.14730407297611237,0.0038683584425598383,0.0038683584425598383,,,,
52,,,,,0.000387296051485464,0.15168289840221405,0.003985719755291939,0.003985719755291939,,,,
53,,,,,0.00038608824252150953,0.1324506253004074,0.003504309570416808,0.003504309570416808,,,,
54,,,,,0.00039387535071000457,0.15909317135810852,0.004174266941845417,0.004174266941845417,,,,
55,,,,,0.0003949564415961504,0.13720817863941193,0.0036276825703680515,0.0036276825703680515,,,,
56,,,,,0.0004236210370436311,0.13614732027053833,0.0036154938861727715,0.0036154938861727715,,,,
57,,,,,0.0003824913874268532,0.15454179048538208,0.004054790362715721,0.004054790362715721,,,,
58,,,,,0.00040593757876195014,0.14832140505313873,0.003911003470420837,0.003911003470420837,,,,
59,,,,,0.00038731523090973496,0.13092903792858124,0.003466883674263954,0.003466883674263954,,,,
60,0.0007510118302889168,0.22567909955978394,0.0060174837708473206,0.0060174837708473206,0.0003888127102982253,0.122645303606987,0.0032605391461402178,0.0032605391461402178,58.94059405940594,61.999999999999986,68.08564284205437,2.9872383791953325
61,,,,,0.0003741603286471218,0.12726765871047974,0.0033687714021652937,0.0033687714021652937,,,,
62,,,,,0.0003771780466195196,0.14422906935214996,0.003794315503910184,0.003794315503910184,,,,
63,,,,,0.0003944466880057007,0.13928915560245514,0.003679452231153846,0.003679452231153846,,,,
64,,,,,0.00040534400613978505,0.13073469698429108,0.0034710392355918884,0.0034710392355918884,,,,
65,,,,,0.00037201138911768794,0.12459538131952286,0.0033008905593305826,0.0033008905593305826,,,,
66,,,,,0.00036643107887357473,0.12552045285701752,0.00332122715190053,0.00332122715190053,,,,
67,,,,,0.00035920829395763576,0.16027027368545532,0.004186361562460661,0.004186361562460661,,,,
68,,,,,0.0003674904000945389,0.1386854350566864,0.003650881117209792,0.003650881117209792,,,,
69,,,,,0.000375011091819033,0.12523339688777924,0.003318340517580509,0.003318340517580509,,,,
70,0.0007091123261488974,0.21555915474891663,0.00574353476986289,0.00574353476986289,0.0003557044256012887,0.14702607691287994,0.003853504080325365,0.003853504080325365,60.0,60.0,55.01488331496716,2.2799006312182457
71,,,,,0.000364267936674878,0.13713876903057098,0.0036106028128415346,0.0036106028128415346,,,,
72,,,,,0.0003847685002256185,0.129261314868927,0.0034239175729453564,0.0034239175729453564,,,,
73,,,,,0.00034873030381277204,0.13087891042232513,0.0034463382326066494,0.0034463382326066494,,,,
74,,,,,0.000375540490495041,0.12043000012636185,0.003198520513251424,0.003198520513251424,,,,
75,,,,,0.00041826078086160123,0.1337420642375946,0.0035526819992810488,0.0035526819992810488,,,,
76,,,,,0.00042290837154723704,0.1357932686805725,0.0036062856670469046,0.0036062856670469046,,,,
77,,,,,0.00043446163181215525,0.12794581055641174,0.0034158758353441954,0.0034158758353441954,,,,
78,,,,,0.0003642902011051774,0.11573603749275208,0.0030755463521927595,0.0030755463521927595,,,,
79,,,,,0.000362384133040905,0.1167113408446312,0.003098975634202361,0.003098975634202361,,,,
80,0.0006644344539381564,0.21342872083187103,0.005667935125529766,0.005667935125529766,0.00038530142046511173,0.13179488480091095,0.0034875229466706514,0.0034875229466706514,56.871287128712865,64.0,77.5780735257268,3.334973752912548
81,,,,,0.00040225021075457335,0.12507686018943787,0.003328046528622508,0.003328046528622508,,,,
82,,,,,0.0003796206146944314,0.12745903432369232,0.0033762857783585787,0.0033762857783585787,,,,
83,,,,,0.00040514342254027724,0.12550368905067444,0.0033401644323021173,0.0033401644323021173,,,,
84,,,,,0.0003864121390506625,0.12378744781017303,0.0032878920901566744,0.0032878920901566744,,,,
85,,,,,0.0003446317568887025,0.12501168251037598,0.0032976078800857067,0.0032976078800857067,,,,
86,,,,,0.00039038079557940364,0.13164022564888,0.003486196044832468,0.003486196044832468,,,,
87,,,,,0.0003773523785639554,0.12357480078935623,0.0032780461478978395,0.0032780461478978395,,,,
88,,,,,0.00033685500966385007,0.11244934797286987,0.0029796615708619356,0.0029796615708619356,,,,
89,,,,,0.0003618225164245814,0.11414562165737152,0.0030345520935952663,0.0030345520935952663,,,,
90,0.0007867293315939605,0.22359351813793182,0.005983202252537012,0.005983202252537012,0.00037184025859460235,0.12112586945295334,0.0032140666153281927,0.0032140666153281927,60.484048404840486,63.99999999999999,59.985180288255215,2.60102512393937
91,,,,,0.000321568368235603,0.10409870743751526,0.0027632522396743298,0.0027632522396743298,,,,
92,,,,,0.0003166906535625458,0.09897269308567047,0.0026326628867536783,0.0026326628867536783,,,,
93,,,,,0.00029696282581426203,0.1013074517250061,0.002681167796254158,0.002681167796254158,,,,
94,,,,,0.00032494132756255567,0.12250252813100815,0.003225033637136221,0.003225033637136221,,,,
95,,,,,0.0003010686777997762,0.09505337476730347,0.002526868600398302,0.002526868600398302,,,,
96,,,,,0.0003111696569249034,0.10173270851373672,0.002698902739211917,0.002698902739211917,,,,
97,,,,,0.0003109227982349694,0.12517233192920685,0.0032847695983946323,0.0032847695983946323,,,,
98,,,,,0.0002900300023611635,0.10112127661705017,0.0026730471290647984,0.0026730471290647984,,,,
99,,,,,0.00030403179698623717,0.11727772653102875,0.003083958989009261,0.003083958989009261,,,,
100,0.0006812323699705303,0.2116927057504654,0.00563293369486928,0.00563293369486928,0.00030638399766758084,0.11333197355270386,0.002986491657793522,0.002986491657793522,61.36853685368536,67.0,75.04911055207252,2.450810943589066
101,,,,,0.0003072555409744382,0.10391589254140854,0.002751524792984128,0.002751524792984128,,,,
102,,,,,0.00030046424944885075,0.10072596371173859,0.0026683814357966185,0.0026683814357966185,,,,
103,,,,,0.00031584652606397867,0.10306528955698013,0.0027345558628439903,0.0027345558628439903,,,,
104,,,,,0.00031582213705405593,0.09936738759279251,0.002642096020281315,0.002642096020281315,,,,
105,,,,,0.00028405041666701436,0.08491340279579163,0.0022648603189736605,0.0022648603189736605,,,,
106,,,,,0.0003052895190194249,0.10368524491786957,0.002744775963947177,0.002744775963947177,,,,
107,,,,,0.00028658140217885375,0.09631814807653427,0.0025512445718050003,0.0025512445718050003,,,,
108,,,,,0.0002873641496989876,0.09276233613491058,0.0024627402890473604,0.0024627402890473604,,,,
109,,,,,0.000309444876620546,0.10934600234031677,0.0028883726336061954,0.0028883726336061954,,,,
110,0.0007142294780351222,0.2243954986333847,0.005967001896351576,0.005967001896351576,0.00029771914705634117,0.092481829226017,0.0024609053507447243,0.0024609053507447243,60.782178217821794,68.0,60.718964802920816,2.224180995952338
111,,,,,0.0002885758876800537,0.09107962250709534,0.002421278739348054,0.002421278739348054,,,,
112,,,,,0.0002881679392885417,0.09053944796323776,0.0024075701367110014,0.0024075701367110014,,,,
113,,,,,0.00028871430549770594,0.09533306211233139,0.0025276837404817343,0.0025276837404817343,,,,
